#,superregion,site/cluster,X,Y,darkbirds,light birds,total birds,%dark,radius,radius,Solar Radiation for shading,radiation/1000,log(radiation/1000)
9,wc,kistenbosch,18.43,-33.98,65,15,80,0.8125,8,1,546.5199729,0.546519973,-0.262393962
13,wc,STRAN,18.85,-34.14,4,1,5,0.8,0.5,0.5,628.6224513,0.628622451,-0.201610112
8,wc,JONKERSHOEK,18.93,-33.96,2,1,3,0.666666667,0.3,0.3,579.0749678,0.579074968,-0.237265208
46,wc,Hermanus,19.15,-34.41,1,3,4,0.25,0.4,0.4,652.4701905,0.652470191,-0.185439325
43,wc,Calitzdorp,21.69,-33.49,3,1,4,0.75,0.4,0.4,649.8329131,0.649832913,-0.187198296
23,ec,Port Elizabeth,25.6,-33.95,9,7,16,0.5625,1.6,1,665.8835615,0.665883562,-0.176601706
38,kzn,Durban,31.02,-29.86,5,17,22,0.227272727,2.2,1,662.759586,0.662759586,-0.178643982
11,kzn,PIETERMARITZBURG,30.4,-29.63,4,6,10,0.4,1,1,669.3456761,0.669345676,-0.174349538
35,gp,Vereeniging,27.94,-26.68,0,1,1,0,0.1,0.1,760.1135144,0.760113514,-0.119121546
17,mp,LYDENBURG,30.48,-25.11,0,8,8,0,0.8,0.8,725.6703803,0.72567038,-0.139260603
